Test Case,Variant,Status,Financial,Financial Method,Dietary,Dietary Method,Geography,Geography Method,Faithfulness,Faithfulness Method,Input Safety,Input Safety Method,Overall Notes
TC01,A,SUCCESS,FAIL,llm-judge,PASS,llm-judge,PASS,llm-judge,FAIL,llm-judge,PASS,llm-judge,"The itinerary excellently accommodates the geographic preferences, train types, and Halal needs, but fails faithfulness due to lack of source citations and omits the expected JR Pass recommendation."
TC01,B,SUCCESS,FAIL,llm-judge,PASS,llm-judge,PASS,llm-judge,FAIL,llm-judge,PASS,llm-judge,"The itinerary meets geographic and dietary constraints well, but fails the strict faithfulness criteria due to a lack of source evidence pointers and contradicts the benchmark's expected pass recommendation."
TC01,C,SUCCESS,FAIL,deterministic-calculator,PASS,deterministic-validator,PASS,deterministic-validator,PASS,llm-judge,PASS,llm-judge,"The itinerary and dietary checks were executed accurately with high evidence citation coverage. However, the financial pass recommendation contradicted expected behavior and explanation JSON failed to parse."
TC02,A,SUCCESS,FAIL,llm-judge,PASS,llm-judge,PASS,llm-judge,FAIL,llm-judge,PASS,llm-judge,"The itinerary handles the fast pace and vegan requirements well, but completely omits the required JR Pass cost-benefit analysis and provides zero verifiable source citations."
TC02,B,SUCCESS,PASS,llm-judge,PASS,llm-judge,PASS,llm-judge,FAIL,llm-judge,PASS,llm-judge,"The itinerary meets all logistical, geographic, dietary, and financial requirements, but fails faithfulness due to a complete lack of verifiable evidence citations."
TC02,C,SUCCESS,PASS,deterministic-calculator,PASS,deterministic-validator,PASS,deterministic-validator,FAIL,llm-judge,PASS,llm-judge,"The system followed the fast-paced preference by expanding the route to include Hiroshima and correctly recommended against the JR Pass, but suffered from unverified geographic segments and missing source dates."
TC03,A,SUCCESS,N/A,llm-judge,PASS,llm-judge,PASS,llm-judge,FAIL,llm-judge,PASS,llm-judge,"The itinerary excellently accommodates the user's dietary, geographic, and pacing preferences, but fails the faithfulness metric due to the complete lack of verifiable evidence citations."
TC03,B,SUCCESS,PASS,llm-judge,PASS,llm-judge,PASS,llm-judge,FAIL,llm-judge,PASS,llm-judge,"The itinerary excellently fulfills all user preferences including Halal dining, a relaxed pace, and cultural sites across Tokyo and Kyoto, but fails the strict faithfulness criteria due to an absence of source citations."
TC03,C,SUCCESS,PASS,deterministic-calculator,PASS,deterministic-validator,PASS,deterministic-validator,PASS,llm-judge,PASS,llm-judge,"The output satisfies all constraints, providing an appropriately paced 8-day Tokyo-Kyoto itinerary with verified Halal dining and accurate rail pass advice."
TC04,A,SUCCESS,FAIL,llm-judge,PASS,llm-judge,PASS,llm-judge,FAIL,llm-judge,PASS,llm-judge,"The itinerary follows the requested open-jaw route and cities accurately, but fails financial against the expected pass recommendation and fails faithfulness due to lack of citation evidence pointers."
TC04,B,SUCCESS,FAIL,llm-judge,PASS,llm-judge,PASS,llm-judge,FAIL,llm-judge,PASS,llm-judge,"The itinerary follows a practical geographic route covering Tokyo, Kyoto, and Osaka. However, it fails faithfulness due to lack of source citations, and fails financial against the test case's expected JR Pass recommendation."
